id,uri,title,artists,year,rank,tempo,time_signature,duration_ms,key,mode,acousticness,danceability,energy,instrumentalness,loudness,valence
0dwpdcQkeZqpuoAPYD49N3,spotify:track:0dwpdcQkeZqpuoAPYD49N3,"""The Battle of New Orleans""",Johnny Horton,1959,1,177.283,4,151627,A,major,0.764,0.703,0.776,0,-10.983,0.921
3E5ndyOfO6vFDEIE42HA8o,spotify:track:3E5ndyOfO6vFDEIE42HA8o,"""Mack the Knife""",Bobby Darin,1959,2,82.755,4,184333,D#/Eb,minor,0.76,0.549,0.529,0,-12.291,0.464
5vjigjfoXuJEttqLB3HTAg,spotify:track:5vjigjfoXuJEttqLB3HTAg,"""Personality""",Lloyd Price,1959,3,128.909,4,157733,F,major,0.744,0.591,0.454,0,-8.936,0.865
5kqXQHIgQ6UfFP9LfqPNgG,spotify:track:5kqXQHIgQ6UfFP9LfqPNgG,"""Venus""",Frankie Avalon,1959,4,114.883,4,144483,A#/Bb,major,0.852,0.576,0.347,0.599,-18.755,0.85
4kh2S9hRpPvoF9JkwZcYGN,spotify:track:4kh2S9hRpPvoF9JkwZcYGN,"""Lonely Boy""",Paul Anka,1959,5,106.163,3,151107,C,major,0.352,0.623,0.605,0,-9.923,0.804
1KLpjQFgubHI3GkAICCNH3,spotify:track:1KLpjQFgubHI3GkAICCNH3,"""Dream Lover""",Bobby Darin,1959,6,131.715,4,150706,F,major,0.715,0.526,0.774,0,-1.692,0.715
24SbmQo3XQkNLpSBYda4DA,spotify:track:24SbmQo3XQkNLpSBYda4DA,"""The Three Bells""",The Browns,1959,7,106.488,4,169573,G,major,0.893,0.47,0.159,0,-14.795,0.418
603N4XGJUTbK760GLCvIIs,spotify:track:603N4XGJUTbK760GLCvIIs,"""Come Softly to Me""",The Fleetwoods,1959,8,122.975,4,144933,C#/Db,major,0.93,0.601,0.095,0.000285,-18.478,0.672
4GvyP7CnBJEV2t7L7vOkjw,spotify:track:4GvyP7CnBJEV2t7L7vOkjw,"""Kansas City""",Wilbert Harrison,1959,9,114.979,4,150333,C#/Db,major,0.653,0.727,0.665,0.233,-6.453,0.912
6bnFjTW3EnMG4BwreDnSHK,spotify:track:6bnFjTW3EnMG4BwreDnSHK,"""Mr. Blue""",The Fleetwoods,1959,10,96.677,4,145133,E,major,0.931,0.374,0.0889,6.88e-06,-17.475,0.211
0yK8sWD6cfrc7pGfaPIcZH,spotify:track:0yK8sWD6cfrc7pGfaPIcZH,"""Sleep Walk""",Santo & Johnny,1959,11,94.675,3,145333,A#/Bb,minor,0.759,0.779,0.212,0.959,-9.759,0.444
2DpJ9T2RVRanZcYFHKOAfA,spotify:track:2DpJ9T2RVRanZcYFHKOAfA,"""Put Your Head on My Shoulder""",Paul Anka,1959,12,115.838,3,154733,E,minor,0.747,0.547,0.335,0,-9.2,0.474
