title,artists,year,rank
"""I'm Gonna Get Married""",Lloyd Price,1959,23
"""Kookie, Kookie (Lend Me Your Comb)""",Edd Byrnes & Connie Stevens,1959,37
"""What a Diff'rence a Day Makes""",Dinah Washington,1959,45
"""What'd I Say""",Ray Charles,1959,50
"""Only You (And You Alone)""",Franck Pourcel,1959,52
"""I've Had It""",The Bell Notes,1959,62
"""Since I Don't Have You""",The Skyliners,1959,65
"""The Chipmunk Song (Christmas Don't Be Late)""",The Chipmunks,1959,67
"""The Deck of Cards""",Wink Martindale,1959,71
"""Three Stars""",Tommy Dee & Carol Kay,1959,81
"""You're So Fine""",The Falcons,1959,91
"""The Battle Hymn of the Republic""",Mormon Tabernacle Choir,1959,97
"""I'm Sorry""",Brenda Lee,1960,6
"""Walk, Don't Run""",The Ventures,1960,25
"""Baby (You've Got What It Takes)""",Dinah Washington & Brook Benton,1960,27
"""Because They're Young""",Duane Eddy,1960,37
"""Please Help Me, I'm Falling""",Hank Locklin,1960,47
"""He'll Have to Stay""",Jeanne Black,1960,52
"""The Old Lamp-Lighter""",The Browns,1960,58
"""Tracy's Theme""",Spencer Ross,1960,81
"""Don't Worry""",Marty Robbins,1961,28
"""Don't Bet Money Honey""",Linda Scott,1961,36
"""(I Don't Know Why) But I Do""","Clarence ""Frogman"" Henry",1961,43
"""You Don't Know What You've Got (Until You Lose It)""",Ral Donner,1961,56
"""I've Told Every Little Star""",Linda Scott,1961,74
"""I'm Gonna Knock on Your Door""",Eddie Hodges,1961,92
"""I Can't Stop Loving You""",Ray Charles,1962,2
"""Don't Break the Heart That Loves You""",Connie Francis,1962,31
"""I Know (You Don't Love Me No More)""",Barbara George,1962,42
"""You Don't Know Me""",Ray Charles,1962,54
"""You'll Lose a Good Thing""",Barbara Lynn,1962,71
"""Teen Age Idol""",Rick Nelson,1962,77
"""PT-109""",Jimmy Dean,1962,85
"""I'll Never Dance Again""",Bobby Rydell,1962,93
"""I'm Blue (The Gong-Gong Song)""",The Ikettes,1962,94
"""Fingertips""",Little Stevie Wonder,1963,7
"""Can't Get Used to Losing You""",Andy Williams,1963,8
"""You're the Reason I'm Living""",Bobby Darin,1963,17
"""You Can't Sit Down""",The Dovells,1963,25
"""You've Really Got a Hold on Me""",The Miracles,1963,56
"""(You're the) Devil in Disguise""",Elvis Presley,1963,58
"""Mama Didn't Lie""",Jan Bradley,1963,66
"""Don't Say Nothin' Bad (About My Baby)""",The Cookies,1963,68
"""Hot Pastrami""",The Dartells,1963,91
"""We'll Sing in the Sunshine""",Gale Garnett,1964,8
"""Love Me with All Your Heart (Cuando Calienta El Sol)""",The Ray Charles Singers,1964,19
"""Don't Let the Rain Come Down (Crooked Little Man)""",The Serendipity Singers,1964,32
"""You Don't Own Me""",Lesley Gore,1964,36
"""Don't Let the Sun Catch You Crying""",Gerry and the Pacemakers,1964,49
"""C'mon and Swim""",Bobby Freeman,1964,54
"""Can't You See That She's Mine""",The Dave Clark Five,1964,68
"""I'm So Proud""",The Impressions,1964,81
"""(You Don't Know) How Glad I Am""",Nancy Wilson,1964,85
"""Don't Throw Your Love Away""",The Searchers,1964,87
"""Walk, Don't Run '64""",The Ventures,1964,90
"""There! I've Said It Again""",Bobby Vinton,1964,98
"""I Can't Help Myself (Sugar Pie Honey Bunch)""",Four Tops,1965,2
"""Can't You Hear My Heartbeat""",Herman's Hermits,1965,8
"""Mrs. Brown, You've Got a Lovely Daughter""",Herman's Hermits,1965,19
"""Yes, I'm Ready""",Barbara Mason,1965,27
"""Baby I'm Yours""",Barbara Lewis,1965,38
"""I'm Telling You Now""",Freddie and the Dreamers,1965,42
"""The Seventh Son""",Johnny Rivers,1965,45
"""I'm Henry the Eighth, I Am""",Herman's Hermits,1965,46
"""I'll Be Doggone""",Marvin Gaye,1965,58
"""Baby Don't Go""",Sonny & Cher,1965,72
"""It Ain't Me Babe""",The Turtles,1965,73
"""Don't Just Stand There""",Patty Duke,1965,77
"""You've Got Your Troubles""",The Fortunes,1965,84
"""Hold What You've Got""",Joe Tex,1965,85
"""I'm a Fool""","Dino, Desi & Billy",1965,97
