title,artists
"""I Don't Want to Miss a Thing""",Aerosmith
"""Blow Me (One Last Kiss)""",Pink
"""Can't Get You Out of My Head""",Kylie Minogue
"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez
"""Don't""",Ed Sheeran
"""Baby I'm Back""",Baby Bash featuring Akon
"""It's Five O'Clock Somewhere""",Alan Jackson featuring Jimmy Buffett
"""Can't Hold Us Down""",Christina Aguilera featuring Lil' Kim
"""Who Says You Can't Go Home""",Bon Jovi featuring Jennifer Nettles
"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and Ozuna"
"""Please Don't Go""",Mike Posner
"""Don't Know Why""",Norah Jones
"""The Way You Make Me Feel""",Micheal Jackson
"""Honey, I'm Good.""",Andy Grammer
"""I Can't Sleep Baby (If I)""",R. Kelly
"""I Don't Fuck with You""",Big Sean featuring E-40
"""I Don't Want to Be""",Gavin DeGraw
"""He Loves U Not""",Dream
"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande
"""Where'd You Go""",Fort Minor featuring Holly Brook and Jonah Matranga
"""Don't Wake Me Up""",Chris Brown
"""Plain Jane""",ASAP Ferg featuring Nicki Minaj
"""Don't""",Ed Sheeran
"""Foolish Games"" / ""You Were Meant for Me""",Jewel
"""Lately""",Divine
"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend
"""I'll Be""",Foxy Brown featuring Jay-Z
"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban
"""Can't Remember to Forget You""",Shakira featuring Rihanna
"""I Don't Want This Night to End""",Luke Bryan
"""When You're Mad""",Ne-Yo
"""Stronger (What Doesn't Kill You)""",Kelly Clarkson
"""Don't Let Me Down""",The Chainsmokers featuring Daya
"""We Can't Stop""",Miley Cyrus
"""There You'll Be""",Faith Hill
"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson
"""Been Around the World""",Puff Daddy featuring The Notorious B.I.G. and Mase
"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas
"""Can't Stop the Feeling!""",Justin Timberlake
"""Don't Wanna Go Home""",Jason Derulo
"""When I'm Gone""",Eminem
"""I Don't Dance""",Lee Brice
"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar
"""Can't Believe It""",T-Pain featuring Lil Wayne
"""Can't Feel My Face""",The Weeknd
"""I'm Already There""",Lonestar
"""What About Us""",Pink
"""Walk Me Home""",Pink
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton
"""Just Can't Get Enough""",The Black Eyed Peas
"""Don't Phunk with My Heart""",The Black Eyed Peas
"""I Don't Care""",Ed Sheeran and Justin Bieber
"""The Sweetest Thing (I've Ever Known)""",Juice Newton
"""Haven't Met You Yet""",Michael Bublé
"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend
"""Un-Thinkable (I'm Ready)""",Alicia Keys
"""Macarena (Bayside Boys Mix)""",Los del Río
"""Stupid Girls""",Pink
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne"
"""Don't You Worry Child""",Swedish House Mafia featuring John Martin
"""I'm Upset""",Drake
"""Freek'n You""",Jodeci
"""Ask of You""",Raphael Saadiq
"""If I Ain't Got You""",Alicia Keys
"""Don't Mind""",Kent Jones
"""You'll See""",Madonna
"""I Don't Mind""",Usher featuring Juicy J
"""I'm Still in Love with You""",Sean Paul featuring Sasha
"""Lady""",D'Angelo
"""Don't Lose My Number""",Phil Collins
"""Big Shit Poppin' (Do It)""",T.I.
"""I'm Sprung""",T-Pain
"""Hold On, We're Going Home""",Drake featuring Majid Jordan
"""Why Don't You & I""",Santana featuring Alex Band
"""For You I Will (Confidence)""",Teddy Geiger
"""I Don't Want To"" / ""I Love Me Some Him""",Toni Braxton
"""Macarena (Bayside Boys Mix)""",Los del Río
"""Can't Stop the Feeling!""",Justin Timberlake
"""Just Like Fire""",Pink
"""She Ain't You""",Chris Brown
"""Don't Matter""",Akon
"""Sometimes Love Just Ain't Enough""",Patty Smyth and Don Henley
"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar"
"""Soul Survivor""",Young Jeezy featuring Akon
"""I'm with You""",Avril Lavigne
"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul
"""Go Getta""",Young Jeezy featuring R. Kelly
"""Lately""",Divine
"""If I Can't Have You""",Shawn Mendes
"""Don't""",Bryson Tiller
"""Don't Trust Me""",3OH!3
"""Big Girls Don't Cry""",Fergie
"""Fuck It (I Don't Want You Back)""",Eamon
"""Down 4 U""","Ja Rule featuring Ashanti, Charli Baltimore and Vita"
"""Boo'd Up""",Ella Mai
"""You Gotta Be""",Des'ree
"""Niggas in Paris""",Jay-Z and Kanye West
"""Who Knew""",Pink
"""U Don't Know Me""",T.I.
"""Don't Wanna Lose You""",Gloria Estefan
